,Day,Plot,Treatment,Daily_mean,Weekly_average,Average_per_plot,,,,Week,Site,Treatment,Weekly_average
52,26/06/2016,13,"No water, no cover",15.33333333,,,,,,4,13,"No water, no cover",17.9047619
53,26/06/2016,14,Ambient,13.1875,,,,,,4,14,Ambient,17.78273809
54,26/06/2016,15,"Saturated, cover",14.6875,,,,,,4,15,"Saturated, cover",17.66369048
55,26/06/2016,16,Ambient,15.83333333,,,,,,4,16,Ambient,17.25892857
56,26/06/2016,17,"Nothing, disturbed, cover",14.95833333,,,,,,4,17,"Nothing, disturbed, cover",17.25892857
57,26/06/2016,18,"Nothing, disturbed, no cover",14.85416667,,,,,,4,18,"Nothing, disturbed, no cover",17.13690476
58,26/06/2016,2,"Saturated, no cover",14.02083333,,,,,,4,2,"Saturated, no cover",16.98809524
59,26/06/2016,3,"Nothing, disturbed, no cover",14.52083333,,,,,,4,3,"Nothing, disturbed, no cover",16.88690476
60,26/06/2016,4,"Nothing, disturbed, cover",14.9375,,,,,,4,4,"Nothing, disturbed, cover",16.91964286
61,26/06/2016,5,"Light water, no cover",14.66666667,,,,,,4,5,"Light water, no cover",16.97619048
62,26/06/2016,6,"No water, cover",16.375,,,,,,4,6,"No water, cover",16.76785714
63,26/06/2016,8,"No water, cover",15.66666667,,,,,,4,8,"No water, cover",16.93452381
64,26/06/2016,9,"Saturated, no cover",14.95833333,,,,,,4,9,"Saturated, no cover",16.89583333
65,27/06/2016,10,"Light water, no cover",14.45833333,,,,,,5,10,"Light water, no cover",13.86607143
66,27/06/2016,11,"Saturated, cover",14.83333333,,,,,,5,11,"Saturated, cover",14.05357143
67,27/06/2016,12,"No water, no cover",14.75,,,,,,5,12,"No water, no cover",13.99404762
68,27/06/2016,13,"No water, no cover",15.66666667,,,,,,5,13,"No water, no cover",13.79166667
69,27/06/2016,14,Ambient,13.375,,,,,,5,14,Ambient,13.98809524
