"","Day","Plot","Daily_mean","Treatment"
"118",2016-07-04,"11",12.7708333333333,"1"
"119",2016-07-05,"11",14.8958333333333,"1"
"120",2016-07-06,"11",14.875,"1"
"121",2016-07-07,"11",14.6875,"1"
"122",2016-07-08,"11",15.5416666666667,"1"
"123",2016-07-09,"11",16.5833333333333,"1"
"124",2016-07-10,"11",15.3541666666667,"1"
"125",2016-07-11,"11",14.8958333333333,"1"
"126",2016-07-12,"11",16.25,"1"
"127",2016-07-13,"11",16.9375,"1"
"128",2016-07-14,"11",17.5833333333333,"1"
"129",2016-07-15,"11",17.3125,"1"
"130",2016-07-16,"11",17.3541666666667,"1"
"131",2016-07-17,"11",17.9583333333333,"1"
"132",2016-07-18,"11",18.3125,"1"
"133",2016-07-19,"11",16.2083333333333,"1"
"134",2016-07-20,"11",14.9583333333333,"1"
"135",2016-07-21,"11",13.875,"1"
"136",2016-07-22,"11",13.7916666666667,"1"
"137",2016-07-23,"11",13.1875,"1"
"138",2016-07-24,"11",13.2083333333333,"1"
"139",2016-07-25,"11",14.2083333333333,"1"
"140",2016-07-26,"11",14.625,"1"
"141",2016-07-27,"11",14.3333333333333,"1"
"142",2016-07-28,"11",15.3125,"1"
"143",2016-07-29,"11",15.4166666666667,"1"
"144",2016-07-30,"11",14.1666666666667,"1"
"145",2016-07-31,"11",14.3541666666667,"1"
"146",2016-08-01,"11",15.5416666666667,"1"
"147",2016-08-02,"11",15.3125,"1"
"148",2016-08-03,"11",13.9583333333333,"1"
"149",2016-08-04,"11",14.3125,"1"
"150",2016-08-05,"11",14.5833333333333,"1"
"151",2016-08-06,"11",15.4166666666667,"1"
"152",2016-08-07,"11",15.5833333333333,"1"
"153",2016-08-08,"11",15.8541666666667,"1"
"154",2016-08-09,"11",15.7708333333333,"1"
"155",2016-08-10,"11",15.2083333333333,"1"
"156",2016-08-11,"11",14.8125,"1"
"157",2016-08-12,"11",13.75,"1"
"158",2016-08-13,"11",13.375,"1"
