Number ,Date,Site,Treatment,Elevation,Mean_temp,Weekly_av,Average_per_plot ,,,,Week,Site,Treatment,Elevation ,Mean_weekly_temp
412,14/07/2016,4,T,1175,8.041667,,,,,,,,,,
413,14/07/2016,5,A,1299,11.020833,,,,,,,,,,
414,14/07/2016,6,A,1425,10.645833,,,,,,,,,,
415,14/07/2016,7,B,1551,13.583333,,,,,,,,,,
416,14/07/2016,7,M,1551,12.1875,,,,,,,,,,
417,14/07/2016,7,T,1551,10.125,,,,,,,,,,
418,14/07/2016,8,A,1684,5.708333,,,,,,,,,,
400,14/07/2016,10,A,1926,8.520833,,,,,,,,,,
401,14/07/2016,10,B,1926,11.6875,,,,,,,,,,
402,14/07/2016,10,M,1926,10.270833,,,,,,,,,,
403,14/07/2016,10,T,1926,9.666667,,,,,,,,,,
423,15/07/2016,1,B,794,14.354167,14.02678571,,,,,,,,,
424,15/07/2016,1,M,794,13.416667,13.34226186,,,,,,,,,
425,15/07/2016,1,T,794,14.166667,13.702381,,,,,,,,,
426,15/07/2016,2,A,922,13.0625,12.9375,,,,,,,,,
427,15/07/2016,3,A,1049,9.854167,8.889881,,,,,,,,,
428,15/07/2016,4,A,1175,5.6875,5.431547714,,,,,,,,,
429,15/07/2016,4,B,1175,10.666667,9.639881,,,,,,,,,
430,15/07/2016,4,M,1175,10.083333,9.336309571,,,,,,,,,
431,15/07/2016,4,T,1175,7.791667,6.854166571,,,,,,,,,
432,15/07/2016,5,A,1299,11.125,10.60119043,,,,,,,,,
433,15/07/2016,6,A,1425,10.979167,10.78869043,,,,,,,,,
434,15/07/2016,7,B,1551,12.9375,11.392857,,,,,,,,,
435,15/07/2016,7,M,1551,11.895833,10.80952386,,,,,,,,,
436,15/07/2016,7,T,1551,10.166667,9.613095429,,,,,,,,,
437,15/07/2016,8,A,1684,5.8125,5.770833286,,,,,,,,,
419,15/07/2016,10,A,1926,10.6875,9.193452286,,,,,,,,,
420,15/07/2016,10,B,1926,10.708333,9.937499857,,,,,,,,,
421,15/07/2016,10,M,1926,10.791667,9.556547714,,,,,,,,,
422,15/07/2016,10,T,1926,10.020833,9.127976,,,,,,,,,
442,16/07/2016,1,B,794,14.770833,,,,,,,,,,
443,16/07/2016,1,M,794,13.8125,,,,,,,,,,
444,16/07/2016,1,T,794,14.5,,,,,,,,,,
445,16/07/2016,2,A,922,13.916667,,,,,,,,,,
446,16/07/2016,3,A,1049,9.833333,,,,,,,,,,
447,16/07/2016,4,A,1175,6,,,,,,,,,,
448,16/07/2016,4,B,1175,10.958333,,,,,,,,,,
449,16/07/2016,4,M,1175,10.541667,,,,,,,,,,
450,16/07/2016,4,T,1175,7.291667,,,,,,,,,,
451,16/07/2016,5,A,1299,11.395833,,,,,,,,,,
452,16/07/2016,6,A,1425,11.3125,,,,,,,,,,
453,16/07/2016,7,B,1551,13.083333,,,,,,,,,,
454,16/07/2016,7,M,1551,12.166667,,,,,,,,,,
455,16/07/2016,7,T,1551,10.416667,,,,,,,,,,
456,16/07/2016,8,A,1684,6.25,,,,,,,,,,
438,16/07/2016,10,A,1926,10.583333,,,,,,,,,,
439,16/07/2016,10,B,1926,12.0625,,,,,,,,,,
440,16/07/2016,10,M,1926,11.791667,,,,,,,,,,
441,16/07/2016,10,T,1926,10.604167,,,,,,,,,,
461,17/07/2016,1,B,794,15.166667,,,,,,,,,,
462,17/07/2016,1,M,794,14.333333,,,,,,,,,,
463,17/07/2016,1,T,794,15.083333,,,,,,,,,,
464,17/07/2016,2,A,922,14.270833,,,,,,,,,,
465,17/07/2016,3,A,1049,9.604167,,,,,,,,,,
466,17/07/2016,4,A,1175,5.8125,,,,,,,,,,
467,17/07/2016,4,B,1175,11.104167,,,,,,,,,,
468,17/07/2016,4,M,1175,10.479167,,,,,,,,,,
469,17/07/2016,4,T,1175,7.520833,,,,,,,,,,
470,17/07/2016,5,A,1299,11.5,,,,,,,,,,
471,17/07/2016,6,A,1425,11.604167,,,,,,,,,,
472,17/07/2016,7,B,1551,13.708333,,,,,,,,,,
473,17/07/2016,7,M,1551,12.6875,,,,,,,,,,
474,17/07/2016,7,T,1551,10.833333,,,,,,,,,,
475,17/07/2016,8,A,1684,6.604167,,,,,,,,,,
457,17/07/2016,10,A,1926,9.9375,,,,,,,,,,
458,17/07/2016,10,B,1926,11.8125,,,,,,,,,,
459,17/07/2016,10,M,1926,10.958333,,,,,,,,,,
460,17/07/2016,10,T,1926,10.145833,,,,,,,,,,
480,18/07/2016,1,B,794,15.5625,,,,,,,,,,
481,18/07/2016,1,M,794,14.791667,,,,,,,,,,
482,18/07/2016,1,T,794,15.166667,,,,,,,,,,
483,18/07/2016,2,A,922,14.541667,,,,,,,,,,
484,18/07/2016,3,A,1049,9.791667,,,,,,,,,,
485,18/07/2016,4,A,1175,6.0625,,,,,,,,,,
486,18/07/2016,4,B,1175,10.979167,,,,,,,,,,
487,18/07/2016,4,M,1175,10.625,,,,,,,,,,
488,18/07/2016,4,T,1175,8.208333,,,,,,,,,,
489,18/07/2016,5,A,1299,11.6875,,,,,,,,,,
490,18/07/2016,6,A,1425,11.770833,,,,,,,,,,
491,18/07/2016,7,B,1551,13.395833,,,,,,,,,,
492,18/07/2016,7,M,1551,12.666667,,,,,,,,,,
493,18/07/2016,7,T,1551,10.916667,,,,,,,,,,
494,18/07/2016,8,A,1684,6.666667,,,,,,,,,,
476,18/07/2016,10,A,1926,9.75,,,,,,,,,,
477,18/07/2016,10,B,1926,12.6875,,,,,,,,,,
478,18/07/2016,10,M,1926,11.395833,,,,,,,,,,
479,18/07/2016,10,T,1926,10.520833,,,,,,,,,,
499,19/07/2016,1,B,794,13.583333,,,,,,,,,,
500,19/07/2016,1,M,794,13.145833,,,,,,,,,,
501,19/07/2016,1,T,794,13.0625,,,,,,,,,,
502,19/07/2016,2,A,922,12.6875,,,,,,,,,,
503,19/07/2016,3,A,1049,8.5625,,,,,,,,,,
504,19/07/2016,4,A,1175,5.4375,,,,,,,,,,
505,19/07/2016,4,B,1175,8.666667,,,,,,,,,,
506,19/07/2016,4,M,1175,8.729167,,,,,,,,,,
507,19/07/2016,4,T,1175,6.8125,,,,,,,,,,
508,19/07/2016,5,A,1299,10.291667,,,,,,,,,,
509,19/07/2016,6,A,1425,10.645833,,,,,,,,,,
510,19/07/2016,7,B,1551,9.604167,,,,,,,,,,
511,19/07/2016,7,M,1551,9.854167,,,,,,,,,,
512,19/07/2016,7,T,1551,9.104167,,,,,,,,,,
513,19/07/2016,8,A,1684,5.833333,,,,,,,,,,
495,19/07/2016,10,A,1926,8.625,,,,,,,,,,
496,19/07/2016,10,B,1926,8.8125,,,,,,,,,,
497,19/07/2016,10,M,1926,8.166667,,,,,,,,,,
498,19/07/2016,10,T,1926,8.583333,,,,,,,,,,
518,20/07/2016,1,B,794,13.104167,,,,,,,,,,
519,20/07/2016,1,M,794,12.645833,,,,,,,,,,
520,20/07/2016,1,T,794,12.708333,,,,,,,,,,
521,20/07/2016,2,A,922,11.770833,,,,,,,,,,
522,20/07/2016,3,A,1049,7.645833,,,,,,,,,,
523,20/07/2016,4,A,1175,4.854167,,,,,,,,,,
524,20/07/2016,4,B,1175,8.145833,,,,,,,,,,
525,20/07/2016,4,M,1175,8,,,,,,,,,,
526,20/07/2016,4,T,1175,5.645833,,,,,,,,,,
527,20/07/2016,5,A,1299,9.458333,,,,,,,,,,
528,20/07/2016,6,A,1425,9.895833,,,,,,,,,,
529,20/07/2016,7,B,1551,8.770833,,,,,,,,,,
530,20/07/2016,7,M,1551,8.520833,,,,,,,,,,
531,20/07/2016,7,T,1551,8.229167,,,,,,,,,,
532,20/07/2016,8,A,1684,4.833333,,,,,,,,,,
514,20/07/2016,10,A,1926,7.770833,,,,,,,,,,
515,20/07/2016,10,B,1926,7.083333,,,,,,,,,,
516,20/07/2016,10,M,1926,7.104167,,,,,,,,,,
517,20/07/2016,10,T,1926,7.395833,,,,,,,,,,
537,21/07/2016,1,B,794,11.645833,,,,,,,,,,
538,21/07/2016,1,M,794,11.25,,,,,,,,,,
539,21/07/2016,1,T,794,11.229167,,,,,,,,,,
540,21/07/2016,2,A,922,10.3125,,,,,,,,,,
541,21/07/2016,3,A,1049,6.9375,,,,,,,,,,
542,21/07/2016,4,A,1175,4.166667,,,,,,,,,,
543,21/07/2016,4,B,1175,6.958333,,,,,,,,,,
544,21/07/2016,4,M,1175,6.895833,,,,,,,,,,
545,21/07/2016,4,T,1175,4.708333,,,,,,,,,,
546,21/07/2016,5,A,1299,8.75,,,,,,,,,,
547,21/07/2016,6,A,1425,9.3125,,,,,,,,,,
548,21/07/2016,7,B,1551,8.25,,,,,,,,,,
549,21/07/2016,7,M,1551,7.875,,,,,,,,,,
550,21/07/2016,7,T,1551,7.625,,,,,,,,,,
551,21/07/2016,8,A,1684,4.395833,,,,,,,,,,
533,21/07/2016,10,A,1926,7,,,,,,,,,,
534,21/07/2016,10,B,1926,6.395833,,,,,,,,,,
535,21/07/2016,10,M,1926,6.6875,,,,,,,,,,
536,21/07/2016,10,T,1926,6.625,,,,,,,,,,
556,22/07/2016,1,B,794,11.979167,9.797619,,,,,,,,,
557,22/07/2016,1,M,794,11.583333,9.312500143,,,,,,,,,
558,22/07/2016,1,T,794,12.145833,9.122023571,,,,,,,,,
559,22/07/2016,2,A,922,10.229167,8.735118857,,,,,,,,,
560,22/07/2016,3,A,1049,6.895833,5.291666571,,,,,,,,,
561,22/07/2016,4,A,1175,4.020833,3.446428429,,,,,,,,,
562,22/07/2016,4,B,1175,7.479167,6.220238286,,,,,,,,,
563,22/07/2016,4,M,1175,6.875,5.886904857,,,,,,,,,
564,22/07/2016,4,T,1175,4.6875,4.714285714,,,,,,,,,
565,22/07/2016,5,A,1299,8.916667,7.431547714,,,,,,,,,
566,22/07/2016,6,A,1425,9.5625,7.75,,,,,,,,,
567,22/07/2016,7,B,1551,9.9375,8.321428714,,,,,,,,,
568,22/07/2016,7,M,1551,8.875,7.467261857,,,,,,,,,
569,22/07/2016,7,T,1551,8.020833,6.848214286,,,,,,,,,
570,22/07/2016,8,A,1684,4.5,4.369047714,,,,,,,,,
552,22/07/2016,10,A,1926,7.8125,6.574404857,,,,,,,,,
553,22/07/2016,10,B,1926,8.375,7.255952286,,,,,,,,,
554,22/07/2016,10,M,1926,8.166667,6.556547571,,,,,,,,,
555,22/07/2016,10,T,1926,7.729167,7.556547571,,,,,,,,,
575,23/07/2016,1,B,794,10.25,9.613095143,,,,,,,,,
576,23/07/2016,1,M,794,9.9375,,,,,,,,,,
577,23/07/2016,1,T,794,9.8125,,,,,,,,,,
578,23/07/2016,2,A,922,9.083333,,,,,,,,,,
579,23/07/2016,3,A,1049,6.208333,,,,,,,,,,
580,23/07/2016,4,A,1175,3.833333,,,,,,,,,,
581,23/07/2016,4,B,1175,5.541667,,,,,,,,,,
582,23/07/2016,4,M,1175,6.104167,,,,,,,,,,
583,23/07/2016,4,T,1175,4.083333,,,,,,,,,,
584,23/07/2016,5,A,1299,8.041667,,,,,,,,,,
585,23/07/2016,6,A,1425,8.8125,,,,,,,,,,
586,23/07/2016,7,B,1551,7.229167,,,,,,,,,,
587,23/07/2016,7,M,1551,7.4375,,,,,,,,,,
588,23/07/2016,7,T,1551,7.145833,,,,,,,,,,
589,23/07/2016,8,A,1684,4.208333,,,,,,,,,,
571,23/07/2016,10,A,1926,6.854167,,,,,,,,,,
572,23/07/2016,10,B,1926,5.708333,,,,,,,,,,
573,23/07/2016,10,M,1926,6.145833,,,,,,,,,,
574,23/07/2016,10,T,1926,6.354167,,,,,,,,,,
594,24/07/2016,1,B,794,11.395833,,,,,,,,,,
595,24/07/2016,1,M,794,11.041667,,,,,,,,,,
596,24/07/2016,1,T,794,11.416667,,,,,,,,,,
597,24/07/2016,2,A,922,9.395833,,,,,,,,,,
598,24/07/2016,3,A,1049,6.479167,,,,,,,,,,
599,24/07/2016,4,A,1175,3.854167,,,,,,,,,,
600,24/07/2016,4,B,1175,7.270833,,,,,,,,,,
601,24/07/2016,4,M,1175,6.541667,,,,,,,,,,
602,24/07/2016,4,T,1175,3.875,,,,,,,,,,
603,24/07/2016,5,A,1299,8.416667,,,,,,,,,,
604,24/07/2016,6,A,1425,9.125,,,,,,,,,,
605,24/07/2016,7,B,1551,9.354167,,,,,,,,,,
606,24/07/2016,7,M,1551,8.125,,,,,,,,,,
607,24/07/2016,7,T,1551,7.541667,,,,,,,,,,
608,24/07/2016,8,A,1684,3.791667,,,,,,,,,,
590,24/07/2016,10,A,1926,7.520833,,,,,,,,,,
591,24/07/2016,10,B,1926,7.8125,,,,,,,,,,
592,24/07/2016,10,M,1926,7.645833,,,,,,,,,,
593,24/07/2016,10,T,1926,7.479167,,,,,,,,,,
613,25/07/2016,1,B,794,11.875,,,,,,,,,,
614,25/07/2016,1,M,794,11.041667,,,,,,,,,,
615,25/07/2016,1,T,794,10.895833,,,,,,,,,,
616,25/07/2016,2,A,922,10.458333,,,,,,,,,,
617,25/07/2016,3,A,1049,6.6875,,,,,,,,,,
618,25/07/2016,4,A,1175,4.145833,,,,,,,,,,
619,25/07/2016,4,B,1175,7.291667,,,,,,,,,,
620,25/07/2016,4,M,1175,7.083333,,,,,,,,,,
621,25/07/2016,4,T,1175,4.583333,,,,,,,,,,
622,25/07/2016,5,A,1299,8.916667,,,,,,,,,,
623,25/07/2016,6,A,1425,9.458333,,,,,,,,,,
624,25/07/2016,7,B,1551,10.520833,,,,,,,,,,
625,25/07/2016,7,M,1551,8.895833,,,,,,,,,,
626,25/07/2016,7,T,1551,8.229167,,,,,,,,,,
627,25/07/2016,8,A,1684,4.5,,,,,,,,,,
609,25/07/2016,10,A,1926,7.666667,,,,,,,,,,
610,25/07/2016,10,B,1926,8.770833,,,,,,,,,,
611,25/07/2016,10,M,1926,7.75,,,,,,,,,,
612,25/07/2016,10,T,1926,8.145833,,,,,,,,,,
632,26/07/2016,1,B,794,11.645833,,,,,,,,,,
633,26/07/2016,1,M,794,10.854167,,,,,,,,,,
634,26/07/2016,1,T,794,10.75,,,,,,,,,,
635,26/07/2016,2,A,922,10.645833,,,,,,,,,,
636,26/07/2016,3,A,1049,6.4375,,,,,,,,,,
637,26/07/2016,4,A,1175,4.1875,,,,,,,,,,
638,26/07/2016,4,B,1175,7.270833,,,,,,,,,,
639,26/07/2016,4,M,1175,7.166667,,,,,,,,,,
640,26/07/2016,4,T,1175,4.875,,,,,,,,,,
641,26/07/2016,5,A,1299,8.833333,,,,,,,,,,
642,26/07/2016,6,A,1425,9.416667,,,,,,,,,,
643,26/07/2016,7,B,1551,9.979167,,,,,,,,,,
644,26/07/2016,7,M,1551,9.041667,,,,,,,,,,
645,26/07/2016,7,T,1551,8.208333,,,,,,,,,,
646,26/07/2016,8,A,1684,4.791667,,,,,,,,,,
628,26/07/2016,10,A,1926,8.229167,,,,,,,,,,
629,26/07/2016,10,B,1926,8.854167,,,,,,,,,,
630,26/07/2016,10,M,1926,8.208333,,,,,,,,,,
631,26/07/2016,10,T,1926,8.354167,,,,,,,,,,
651,27/07/2016,1,B,794,11.1875,,,,,,,,,,
652,27/07/2016,1,M,794,10.520833,,,,,,,,,,
653,27/07/2016,1,T,794,10.270833,,,,,,,,,,
654,27/07/2016,2,A,922,10.708333,,,,,,,,,,
655,27/07/2016,3,A,1049,6.270833,,,,,,,,,,
656,27/07/2016,4,A,1175,3.9375,,,,,,,,,,
657,27/07/2016,4,B,1175,7.291667,,,,,,,,,,
658,27/07/2016,4,M,1175,6.833333,,,,,,,,,,
659,27/07/2016,4,T,1175,4.958333,,,,,,,,,,
660,27/07/2016,5,A,1299,8.5,,,,,,,,,,
661,27/07/2016,6,A,1425,9.125,,,,,,,,,,
662,27/07/2016,7,B,1551,9.895833,,,,,,,,,,
663,27/07/2016,7,M,1551,8.6875,,,,,,,,,,
664,27/07/2016,7,T,1551,8.145833,,,,,,,,,,
665,27/07/2016,8,A,1684,4.791667,,,,,,,,,,
647,27/07/2016,10,A,1926,7.791667,,,,,,,,,,
648,27/07/2016,10,B,1926,8.958333,,,,,,,,,,
649,27/07/2016,10,M,1926,8.0625,,,,,,,,,,
650,27/07/2016,10,T,1926,8.395833,,,,,,,,,,
670,28/07/2016,1,B,794,11.958333,,,,,,,,,,
671,28/07/2016,1,M,794,10.729167,,,,,,,,,,
672,28/07/2016,1,T,794,10.708333,,,,,,,,,,
673,28/07/2016,2,A,922,11.333333,,,,,,,,,,
674,28/07/2016,3,A,1049,6.916667,,,,,,,,,,
675,28/07/2016,4,A,1175,4.083333,,,,,,,,,,
676,28/07/2016,4,B,1175,8.104167,,,,,,,,,,
677,28/07/2016,4,M,1175,7.4375,,,,,,,,,,
678,28/07/2016,4,T,1175,5.854167,,,,,,,,,,
679,28/07/2016,5,A,1299,8.895833,,,,,,,,,,
680,28/07/2016,6,A,1425,9.458333,,,,,,,,,,
681,28/07/2016,7,B,1551,11.229167,,,,,,,,,,
682,28/07/2016,7,M,1551,9.625,,,,,,,,,,
683,28/07/2016,7,T,1551,8.791667,,,,,,,,,,
684,28/07/2016,8,A,1684,5.145833,,,,,,,,,,
666,28/07/2016,10,A,1926,7.9375,,,,,,,,,,
667,28/07/2016,10,B,1926,9.6875,,,,,,,,,,
668,28/07/2016,10,M,1926,7.979167,,,,,,,,,,
669,28/07/2016,10,T,1926,8.875,,,,,,,,,,
689,29/07/2016,1,B,794,10.9375,10.21130957,,,,,,,,,
690,29/07/2016,1,M,794,9.541667,9.211309571,,,,,,,,,
691,29/07/2016,1,T,794,9.583333,9.154761857,,,,,,,,,
692,29/07/2016,2,A,922,10.291667,9.797619,,,,,,,,,
693,29/07/2016,3,A,1049,6.354167,5.946428714,,,,,,,,,
694,29/07/2016,4,A,1175,3.875,3.800595286,,,,,,,,,
695,29/07/2016,4,B,1175,7.041667,7.148809571,,,,,,,,,
696,29/07/2016,4,M,1175,6.833333,6.755952429,,,,,,,,,
697,29/07/2016,4,T,1175,5.729167,5.663690571,,,,,,,,,
698,29/07/2016,5,A,1299,8.416667,8.383928571,,,,,,,,,
699,29/07/2016,6,A,1425,9.1875,8.836309571,,,,,,,,,
700,29/07/2016,7,B,1551,11.0625,10.82440471,,,,,,,,,
701,29/07/2016,7,M,1551,9.583333,9.321428429,,,,,,,,,
702,29/07/2016,7,T,1551,8.770833,8.607142857,,,,,,,,,
703,29/07/2016,8,A,1684,5.041667,5.113095143,,,,,,,,,
685,29/07/2016,10,A,1926,7.479167,7.270833286,,,,,,,,,
686,29/07/2016,10,B,1926,9.770833,10.55059529,,,,,,,,,
687,29/07/2016,10,M,1926,8.229167,8.583333429,,,,,,,,,
688,29/07/2016,10,T,1926,8.333333,8.714285714,,,,,,,,,
708,30/07/2016,1,B,794,10.020833,,,,,,,,,,
709,30/07/2016,1,M,794,9.104167,,,,,,,,,,
710,30/07/2016,1,T,794,9.020833,,,,,,,,,,
711,30/07/2016,2,A,922,9.395833,,,,,,,,,,
712,30/07/2016,3,A,1049,5.770833,,,,,,,,,,
713,30/07/2016,4,A,1175,3.666667,,,,,,,,,,
714,30/07/2016,4,B,1175,6.895833,,,,,,,,,,
715,30/07/2016,4,M,1175,6.375,,,,,,,,,,
716,30/07/2016,4,T,1175,5.375,,,,,,,,,,
717,30/07/2016,5,A,1299,8.145833,,,,,,,,,,
718,30/07/2016,6,A,1425,8.791667,,,,,,,,,,
719,30/07/2016,7,B,1551,10.25,,,,,,,,,,
720,30/07/2016,7,M,1551,9.020833,,,,,,,,,,
721,30/07/2016,7,T,1551,8.416667,,,,,,,,,,
722,30/07/2016,8,A,1684,4.979167,,,,,,,,,,
704,30/07/2016,10,A,1926,7.1875,,,,,,,,,,
705,30/07/2016,10,B,1926,10.166667,,,,,,,,,,
706,30/07/2016,10,M,1926,8.416667,,,,,,,,,,
707,30/07/2016,10,T,1926,8.458333,,,,,,,,,,
727,31/07/2016,1,B,794,9.583333,,,,,,,,,,
728,31/07/2016,1,M,794,8.3125,,,,,,,,,,
729,31/07/2016,1,T,794,8.333333,,,,,,,,,,
730,31/07/2016,2,A,922,9.166667,,,,,,,,,,
731,31/07/2016,3,A,1049,5.354167,,,,,,,,,,
732,31/07/2016,4,A,1175,3.375,,,,,,,,,,
733,31/07/2016,4,B,1175,6.5,,,,,,,,,,
734,31/07/2016,4,M,1175,6.041667,,,,,,,,,,
735,31/07/2016,4,T,1175,5.1875,,,,,,,,,,
736,31/07/2016,5,A,1299,7.895833,,,,,,,,,,
737,31/07/2016,6,A,1425,8.5625,,,,,,,,,,
738,31/07/2016,7,B,1551,10.958333,,,,,,,,,,
739,31/07/2016,7,M,1551,9.145833,,,,,,,,,,
740,31/07/2016,7,T,1551,8.604167,,,,,,,,,,
741,31/07/2016,8,A,1684,4.958333,,,,,,,,,,
723,31/07/2016,10,A,1926,7.395833,,,,,,,,,,
724,31/07/2016,10,B,1926,11.291667,,,,,,,,,,
725,31/07/2016,10,M,1926,9.104167,,,,,,,,,,
726,31/07/2016,10,T,1926,9.041667,,,,,,,,,,
746,01/08/2016,1,B,794,11.166667,,,,,,,,,,
747,01/08/2016,1,M,794,9.979167,,,,,,,,,,
748,01/08/2016,1,T,794,9.875,,,,,,,,,,
749,01/08/2016,2,A,922,10.520833,,,,,,,,,,
750,01/08/2016,3,A,1049,6.5,,,,,,,,,,
751,01/08/2016,4,A,1175,4.041667,,,,,,,,,,
752,01/08/2016,4,B,1175,8.291667,,,,,,,,,,
753,01/08/2016,4,M,1175,7.6875,,,,,,,,,,
754,01/08/2016,4,T,1175,6.291667,,,,,,,,,,
755,01/08/2016,5,A,1299,9.083333,,,,,,,,,,
756,01/08/2016,6,A,1425,9.395833,,,,,,,,,,
757,01/08/2016,7,B,1551,12.395833,,,,,,,,,,
758,01/08/2016,7,M,1551,10.604167,,,,,,,,,,
759,01/08/2016,7,T,1551,9.1875,,,,,,,,,,
760,01/08/2016,8,A,1684,5.5,,,,,,,,,,
742,01/08/2016,10,A,1926,7.75,,,,,,,,,,
743,01/08/2016,10,B,1926,11.875,,,,,,,,,,
744,01/08/2016,10,M,1926,9.4375,,,,,,,,,,
745,01/08/2016,10,T,1926,9.5,,,,,,,,,,
765,02/08/2016,1,B,794,10.0625,,,,,,,,,,
766,02/08/2016,1,M,794,9.145833,,,,,,,,,,
767,02/08/2016,1,T,794,9.104167,,,,,,,,,,
768,02/08/2016,2,A,922,9.916667,,,,,,,,,,
769,02/08/2016,3,A,1049,6.104167,,,,,,,,,,
770,02/08/2016,4,A,1175,3.9375,,,,,,,,,,
771,02/08/2016,4,B,1175,7.208333,,,,,,,,,,
772,02/08/2016,4,M,1175,6.979167,,,,,,,,,,
773,02/08/2016,4,T,1175,5.9375,,,,,,,,,,
774,02/08/2016,5,A,1299,8.604167,,,,,,,,,,
775,02/08/2016,6,A,1425,8.9375,,,,,,,,,,
776,02/08/2016,7,B,1551,11.0625,,,,,,,,,,
777,02/08/2016,7,M,1551,9.75,,,,,,,,,,
778,02/08/2016,7,T,1551,8.8125,,,,,,,,,,
779,02/08/2016,8,A,1684,5.395833,,,,,,,,,,
761,02/08/2016,10,A,1926,7.5,,,,,,,,,,
762,02/08/2016,10,B,1926,11.5,,,,,,,,,,
763,02/08/2016,10,M,1926,9.1875,,,,,,,,,,
764,02/08/2016,10,T,1926,9.270833,,,,,,,,,,
784,03/08/2016,1,B,794,10.104167,,,,,,,,,,
785,03/08/2016,1,M,794,9.583333,,,,,,,,,,
786,03/08/2016,1,T,794,9.416667,,,,,,,,,,
787,03/08/2016,2,A,922,9.770833,,,,,,,,,,
788,03/08/2016,3,A,1049,5.916667,,,,,,,,,,
789,03/08/2016,4,A,1175,3.895833,,,,,,,,,,
790,03/08/2016,4,B,1175,6.979167,,,,,,,,,,
791,03/08/2016,4,M,1175,6.708333,,,,,,,,,,
792,03/08/2016,4,T,1175,5.520833,,,,,,,,,,
793,03/08/2016,5,A,1299,8.354167,,,,,,,,,,
794,03/08/2016,6,A,1425,8.625,,,,,,,,,,
795,03/08/2016,7,B,1551,8.75,,,,,,,,,,
796,03/08/2016,7,M,1551,8.145833,,,,,,,,,,
797,03/08/2016,7,T,1551,7.895833,,,,,,,,,,
798,03/08/2016,8,A,1684,4.958333,,,,,,,,,,
780,03/08/2016,10,A,1926,6.6875,,,,,,,,,,
781,03/08/2016,10,B,1926,8.583333,,,,,,,,,,
782,03/08/2016,10,M,1926,7.145833,,,,,,,,,,
783,03/08/2016,10,T,1926,7.729167,,,,,,,,,,
803,04/08/2016,1,B,794,9.604167,,,,,,,,,,
804,04/08/2016,1,M,794,8.8125,,,,,,,,,,
805,04/08/2016,1,T,794,8.75,,,,,,,,,,
806,04/08/2016,2,A,922,9.520833,,,,,,,,,,
807,04/08/2016,3,A,1049,5.625,,,,,,,,,,
808,04/08/2016,4,A,1175,3.8125,,,,,,,,,,
809,04/08/2016,4,B,1175,7.125,,,,,,,,,,
810,04/08/2016,4,M,1175,6.666667,,,,,,,,,,
811,04/08/2016,4,T,1175,5.604167,,,,,,,,,,
812,04/08/2016,5,A,1299,8.1875,,,,,,,,,,
813,04/08/2016,6,A,1425,8.354167,,,,,,,,,,
814,04/08/2016,7,B,1551,11.291667,,,,,,,,,,
815,04/08/2016,7,M,1551,9,,,,,,,,,,
816,04/08/2016,7,T,1551,8.5625,,,,,,,,,,
817,04/08/2016,8,A,1684,4.958333,,,,,,,,,,
799,04/08/2016,10,A,1926,6.895833,,,,,,,,,,
800,04/08/2016,10,B,1926,10.666667,,,,,,,,,,
801,04/08/2016,10,M,1926,8.5625,,,,,,,,,,
802,04/08/2016,10,T,1926,8.666667,,,,,,,,,,
822,05/08/2016,1,B,794,10.270833,11.50231478,,,,,,,,,
823,05/08/2016,1,M,794,9.770833,9.826388778,,,,,,,,,
824,05/08/2016,1,T,794,9.645833,10.34490744,,,,,,,,,
825,05/08/2016,2,A,922,9.8125,10.08101856,,,,,,,,,
826,05/08/2016,3,A,1049,6.0625,6.067129556,,,,,,,,,
827,05/08/2016,4,A,1175,3.9375,4.120370333,,,,,,,,,
828,05/08/2016,4,B,1175,7.583333,7.351851778,,,,,,,,,
829,05/08/2016,4,M,1175,7.041667,6.988426,,,,,,,,,
830,05/08/2016,4,T,1175,5.9375,5.870370333,,,,,,,,,
831,05/08/2016,5,A,1299,8.479167,8.497685222,,,,,,,,,
832,05/08/2016,6,A,1425,8.520833,8.511574111,,,,,,,,,
833,05/08/2016,7,B,1551,10.479167,10.47222222,,,,,,,,,
834,05/08/2016,7,M,1551,9.020833,8.967592667,,,,,,,,,
835,05/08/2016,7,T,1551,8.333333,8.513888778,,,,,,,,,
836,05/08/2016,8,A,1684,5.208333,4.983796444,,,,,,,,,
818,05/08/2016,10,A,1926,7.104167,6.662037,,,,,,,,,
819,05/08/2016,10,B,1926,10.416667,9.395833556,,,,,,,,,
820,05/08/2016,10,M,1926,8.604167,7.775463,,,,,,,,,
821,05/08/2016,10,T,1926,8.854167,8.499999889,,,,,,,,,
841,06/08/2016,1,B,794,11.8125,,,,,,,,,,
842,06/08/2016,1,M,794,11.25,,,,,,,,,,
843,06/08/2016,1,T,794,10.958333,,,,,,,,,,
844,06/08/2016,2,A,922,10.875,,,,,,,,,,
845,06/08/2016,3,A,1049,7.104167,,,,,,,,,,
846,06/08/2016,4,A,1175,4.479167,,,,,,,,,,
847,06/08/2016,4,B,1175,8.666667,,,,,,,,,,
848,06/08/2016,4,M,1175,8.020833,,,,,,,,,,
849,06/08/2016,4,T,1175,6.604167,,,,,,,,,,
850,06/08/2016,5,A,1299,9.3125,,,,,,,,,,
851,06/08/2016,6,A,1425,9.375,,,,,,,,,,
852,06/08/2016,7,B,1551,12.666667,,,,,,,,,,
853,06/08/2016,7,M,1551,10.75,,,,,,,,,,
