Number ,Date,Site,Treatment,Elevation,Mean_temp,Weekly_av,Average_per_plot ,,,,Week,Site,Treatment,Elevation ,Mean_weekly_temp
78,27/06/2016,10,B,1926,8.041667,,,,,,4,10,B,1926,9.937499857
79,27/06/2016,10,M,1926,5.875,,,,,,4,10,M,1926,9.556547714
80,27/06/2016,10,T,1926,6.229167,,,,,,4,10,T,1926,9.127976
100,28/06/2016,1,B,794,12.520833,,,,,,5,1,B,794,9.797619
101,28/06/2016,1,M,794,9.854167,,,,,,5,1,M,794,9.312500143
102,28/06/2016,1,T,794,10.8125,,,,,,5,1,T,794,9.122023571
103,28/06/2016,2,A,922,9.666667,,,,,,5,2,A,922,8.735118857
104,28/06/2016,3,A,1049,6.166667,,,,,,5,3,A,1049,5.291666571
105,28/06/2016,4,A,1175,3.145833,,,,,,5,4,A,1175,3.446428429
106,28/06/2016,4,B,1175,8,,,,,,5,4,B,1175,6.220238286
107,28/06/2016,4,M,1175,6.791667,,,,,,5,4,M,1175,5.886904857
108,28/06/2016,4,T,1175,5.895833,,,,,,5,4,T,1175,4.714285714
109,28/06/2016,5,A,1299,6.833333,,,,,,5,5,A,1299,7.431547714
110,28/06/2016,6,A,1425,5.5625,,,,,,5,6,A,1425,7.75
111,28/06/2016,7,B,1551,10.083333,,,,,,5,7,B,1551,8.321428714
112,28/06/2016,7,M,1551,8.25,,,,,,5,7,M,1551,7.467261857
113,28/06/2016,7,T,1551,7.125,,,,,,5,7,T,1551,6.848214286
114,28/06/2016,8,A,1684,2.75,,,,,,5,8,A,1684,4.369047714
96,28/06/2016,10,A,1926,4.125,,,,,,5,10,A,1926,6.574404857
97,28/06/2016,10,B,1926,8.520833,,,,,,5,10,B,1926,7.255952286
98,28/06/2016,10,M,1926,6.3125,,,,,,5,10,M,1926,6.556547571
99,28/06/2016,10,T,1926,6.520833,,,,,,5,10,T,1926,7.556547571
119,29/06/2016,1,B,794,11.6875,,,,,,6,1,B,794,10.21130957
