Label,Init_mass_w_bag,Init_mass,Colour,DOB,DOR,Days,Final_mass_w_tea,Final_mass,Mass_Loss,percent_mass_loss,Treatment,Code,Site,Pair_label
K71,2.209,1.9596,R,23/06/16,14/08/16,52,1.657,1.4076,0.281690141,28.16901408,"light water, cover",L/C,1,1_1
K72,2.204,1.9546,R,23/06/16,14/08/16,52,1.669,1.4196,0.27,27,"light water, cover",L/C,1,1_2
K73,2.274,2.0246,R,23/06/16,14/08/16,52,1.717,1.4676,0.28,28,"light water, cover",L/C,1,1_3
K74,2.288,2.0386,R,23/06/16,14/08/16,52,1.694,1.4446,0.29,29,"light water, cover",L/C,1,1_4
K75,2.245,1.9956,R,23/06/16,14/08/16,52,1.705,1.4556,0.27,27,"light water, cover",L/C,1,1_5
K76,2.21,1.9606,R,23/06/16,14/08/16,52,1.673,1.4236,0.27,27,"light water, cover",L/C,1,1_6
K77,2.188,1.9386,R,23/06/16,14/08/16,52,1.665,1.4156,0.27,27,heavy water ,H,2,2_1
K78,2.255,2.0056,R,23/06/16,14/08/16,52,1.565,1.3156,0.34,34,heavy water ,H,2,2_2
K79,2.258,2.0086,R,23/06/16,14/08/16,52,1.766,1.5166,0.24,24,heavy water ,H,2,2_3
K80,2.303,2.0536,R,23/06/16,14/08/16,52,1.806,1.5566,0.24,24,heavy water ,H,2,2_4
K81,2.205,1.9556,R,23/06/16,14/08/16,52,1.697,1.4476,0.26,26,heavy water ,H,2,2_5
K82,2.227,1.9776,R,23/06/16,14/08/16,52,1.686,1.4366,0.27,27,heavy water ,H,2,2_6
K83,2.153,1.9036,R,23/06/16,14/08/16,52,1.718,1.4686,0.23,23,disturbance,D,3,3_1
K84,2.238,1.9886,R,23/06/16,14/08/16,52,1.854,1.6046,0.19,19,disturbance,D,3,3_2
K85,2.174,1.9246,R,23/06/16,14/08/16,52,1.777,1.5276,0.21,21,disturbance,D,3,3_3
K86,2.206,1.9566,R,23/06/16,14/08/16,52,1.804,1.5546,0.21,21,disturbance,D,3,3_4
K87,2.234,1.9846,R,23/06/16,14/08/16,52,1.801,1.5516,0.22,22,disturbance,D,3,3_5
K88,2.222,1.9726,R,23/06/16,14/08/16,52,1.817,1.5676,0.21,21,disturbance,D,3,3_6
K89,2.193,1.9436,R,23/06/16,14/08/16,52,1.79,1.5406,0.21,21,"disturbance, cover",DC,4,4_1
K90,2.278,2.0286,R,23/06/16,14/08/16,52,1.859,1.6096,0.21,21,"disturbance, cover",DC,4,4_2
K91,2.254,2.0046,R,23/06/16,14/08/16,52,1.881,1.6316,0.19,19,"disturbance, cover",DC,4,4_3
K92,2.175,1.9256,R,23/06/16,14/08/16,52,1.807,1.5576,0.19,19,"disturbance, cover",DC,4,4_4
K93,2.206,1.9566,R,23/06/16,14/08/16,52,1.817,1.5676,0.2,20,"disturbance, cover",DC,4,4_5
K94,2.174,1.9246,R,23/06/16,14/08/16,52,1.768,1.5186,0.21,21,"disturbance, cover",DC,4,4_6
K95,2.183,1.9336,R,23/06/16,14/08/16,52,1.684,1.4346,0.26,26,light water,L,5,5_1
K96,2.189,1.9396,R,23/06/16,14/08/16,52,1.681,1.4316,0.26,26,light water,L,5,5_2
K97,2.216,1.9666,R,23/06/16,14/08/16,52,1.671,1.4216,0.28,28,light water,L,5,5_3
K98,2.277,2.0276,R,23/06/16,14/08/16,52,1.83,1.5806,0.22,22,light water,L,5,5_4
K99,2.319,2.0696,R,23/06/16,14/08/16,52,1.819,1.5696,0.24,24,light water,L,5,5_5
K100,2.199,1.9496,R,23/06/16,14/08/16,52,1.721,1.4716,0.25,25,light water,L,5,5_6
K101,2.301,2.0516,R,23/06/16,14/08/16,52,1.865,1.6156,0.21,21,cover,C,6,6_1
K102,2.2,1.9506,R,23/06/16,14/08/16,52,1.852,1.6026,0.18,18,cover,C,6,6_2
K103,2.228,1.9786,R,23/06/16,14/08/16,52,1.775,1.5256,0.23,23,cover,C,6,6_3
K104,2.223,1.9736,R,23/06/16,14/08/16,52,1.787,1.5376,0.22,22,cover,C,6,6_4
K105,2.23,1.9806,R,23/06/16,14/08/16,52,1.802,1.5526,0.22,22,cover,C,6,6_5
K106,2.28,2.0306,R,23/06/16,14/08/16,52,1.953,1.7036,0.16,16,cover,C,6,6_6
