1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 680000003A4AFA21,,
Is Mission Active?  true,,
Mission Start:  Thu Jun 23 23:01:00 MDT 2016,,
Sample Rate:  Every 60 minute(s),,
Number of Mission Samples:  1340,,
Total Samples:  1395,,
Roll Over Enabled?  false,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 •À_C,,
Low Temperature Alarm:  -40 •À_C,,
,,
Date/Time,Unit,Value
30/06/2016 13:01,C,5
30/06/2016 14:01,C,5.5
30/06/2016 15:01,C,7
30/06/2016 16:01,C,7.5
30/06/2016 17:01,C,7.5
30/06/2016 18:01,C,7.5
30/06/2016 19:01,C,7
30/06/2016 20:01,C,7.5
30/06/2016 21:01,C,7.5
30/06/2016 22:01,C,7
30/06/2016 23:01,C,6.5
01/07/2016 00:01,C,6
01/07/2016 01:01,C,5
01/07/2016 02:01,C,4.5
01/07/2016 03:01,C,4
01/07/2016 04:01,C,3.5
01/07/2016 05:01,C,3
01/07/2016 06:01,C,2.5
01/07/2016 07:01,C,2.5
01/07/2016 08:01,C,2
01/07/2016 09:01,C,2
01/07/2016 10:01,C,2.5
01/07/2016 11:01,C,2.5
01/07/2016 12:01,C,3.5
01/07/2016 13:01,C,4.5
01/07/2016 14:01,C,5.5
01/07/2016 15:01,C,7
01/07/2016 16:01,C,7.5
01/07/2016 17:01,C,7.5
01/07/2016 18:01,C,8
01/07/2016 19:01,C,8
01/07/2016 20:01,C,8
01/07/2016 21:01,C,7.5
01/07/2016 22:01,C,7
01/07/2016 23:01,C,7
02/07/2016 00:01,C,6.5
02/07/2016 01:01,C,5.5
02/07/2016 02:01,C,5.5
02/07/2016 03:01,C,5
02/07/2016 04:01,C,5
02/07/2016 05:01,C,4.5
02/07/2016 06:01,C,4.5
02/07/2016 07:01,C,4.5
02/07/2016 08:01,C,5.5
02/07/2016 09:01,C,6
02/07/2016 10:01,C,5.5
02/07/2016 11:01,C,5.5
02/07/2016 12:01,C,6
