Elevation,Temp,Shade,,
1000,12.96153846,unshaded,,
1530,11.55769231,unshaded,,
1835,11.40384615,unshaded,,
1300,11.67307692,unshaded,,
1734,10.71851852,shaded,,
792,14.85438603,shaded,,
1000,11.23076923,shaded,,
1300,10.88461538,shaded,,
1530,10.16,shaded,,
