"","Average_moisture","Elevation","Percent_mass_loss","plo","phi"
"1",6.8,794,45.2125850884038,40.5691018840085,49.856068292799
"2",5.4,794,45.1086099014708,40.313849389454,49.9033704134877
"3",4.7,794,45.0566223080044,40.1788141881239,49.9344304278848
"4",5.633333333,794,45.1259390992682,40.3577937835269,49.8940844150096
"5",6.15,922,45.1643108944706,40.4531331346991,49.8754886542421
"6",8.65,922,45.3499808711366,40.8732835844183,49.8266781578549
"7",5.55,922,45.1197501000708,40.3421618844126,49.897338315729
"8",6.783333333,922,45.2113472885346,40.5661850917447,49.8565094853245
"9",13.05,1049,45.6767600300687,41.4229096652744,49.9306103948631
"10",18.4,1049,46.0740937801339,41.72650907802,50.4216784822479
"11",12.35,1049,45.6247724366023,41.353089650665,49.8964552225395
"12",14.6,1049,45.7918754156017,41.55269262982,50.0310582013833
"13",24.15,1175,46.5011347264657,41.6381019063736,51.3641675465578
"14",20.75,1175,46.2486235582,41.7368656843345,50.7603814320655
"15",24.4,1175,46.5197017241323,41.6261634052107,51.4132400430539
"16",23.1,1175,46.423153336266,41.681629433129,51.164677239403
"17",7.5,1299,45.2645726818703,40.6888292605034,49.8403161032371
"18",27.5,1299,46.7499324951981,41.4330905795244,52.0667744108719
"19",29.05,1299,46.865047880731,41.3091387422087,52.4209570192534
"20",17.2,1299,45.9849721913343,41.693372462089,50.2765719205796
"21",24.58333333,1425,46.5333175221736,41.6170374809804,51.4495975633668
"22",25.95,1425,46.6348171096652,41.5395573913246,51.7300768280058
"23",30.05,1425,46.9393158713974,41.2209099610206,52.6577217817743
"24",19.4,1425,46.1483617708003,41.7394703098931,50.5572532317076
"25",25.13333333,1551,46.5741649170401,41.5878223887615,51.5605074453187
"26",28.8,1551,46.8464808830644,41.3302213823299,52.362740383799
"27",23.35,1551,46.4417203339326,41.6722597945059,51.2111808733593
"28",32.9,1551,47.1509796447967,40.9389997306256,53.3629595589677
"29",22.38333333,1684,46.3699279427075,41.7048997673727,51.0349561180424
"30",46.75,1684,48.1795913155262,39.1646346903086,57.1945479407438
"31",48.05,1684,48.2761397033925,38.9770435045849,57.5752359022001
"32",42.75,1684,47.8825193528606,39.7248823746834,56.0401563310378
"33",45.85,1799,48.1127501239265,39.2930421671921,56.9324580806609
"34",19.55,1799,46.1595019694003,41.7403009154185,50.5787030233821
"35",26.15,1799,46.6496707077985,41.5268835295276,51.7724578860694
"36",22.55,1799,46.3823059413995,41.6999717373366,51.0646401454623
"37",22.75,1926,46.3971595395328,41.6936681014443,51.1006509776212
"38",31.95,1926,47.0804250536636,41.0375703145421,53.1232797927851
"39",26.05,1926,46.6422439087319,41.533261431131,51.7512263863327
"40",28,1926,46.7870664905313,41.3949079611348,52.1792250199279
