tea_typre,Moiture_VWC,Treatment,percent_mass_loss,plo,phi,
R,29.9,nothing,21.92954179,20.1101421,66.17673691,
R,27.7,nothing,22.04923632,20.20120079,66.5410359,
G,25.9,"light water, cover",66.73442587,60.49702951,72.97182223,
G,26.5,"light water, cover",66.64884863,60.39557135,72.90212591,
G,21.2,"light water, cover",67.40478094,61.22729724,73.58226464,
G,16.7,"light water, cover",68.04661026,61.81801352,74.27520699,
G,16.6,"light water, cover",68.06087313,61.82994485,74.29180141,
G,19.8,"light water, cover",67.60446117,61.42243451,73.78648783,
G,25.9,"light water, cover",66.73442587,60.49702951,72.97182223,
G,26.5,"light water, cover",66.64884863,60.39557135,72.90212591,
G,21.2,"light water, cover",67.40478094,61.22729724,73.58226464,
G,16.7,"light water, cover",68.04661026,61.81801352,74.27520699,
G,16.6,"light water, cover",68.06087313,61.82994485,74.29180141,
G,19.8,"light water, cover",67.60446117,61.42243451,73.78648783,
G,53.5,heavy water ,58.86239203,52.67295952,65.05182453,
G,49.2,heavy water ,59.4756956,53.28588658,65.66550462,
G,47.7,heavy water ,59.6896387,53.47688783,65.90238957,
G,52.2,heavy water ,59.04780939,52.86851643,65.22710234,
G,54.2,heavy water ,58.76255191,52.56399313,64.9611107,
G,51.4,heavy water ,59.16191238,52.98444403,65.33938072,
G,53.5,heavy water ,58.86239203,52.67295952,65.05182453,
G,49.2,heavy water ,59.4756956,53.28588658,65.66550462,
G,47.7,heavy water ,59.6896387,53.47688783,65.90238957,
G,52.2,heavy water ,59.04780939,52.86851643,65.22710234,
G,54.2,heavy water ,58.76255191,52.56399313,64.9611107,
G,51.4,heavy water ,59.16191238,52.98444403,65.33938072,
G,19.1,disturbance,62.64460617,56.44702675,68.8421856,
G,10,disturbance,63.94252768,57.40492305,70.48013232,
G,13.6,disturbance,63.42906423,57.0742765,69.78385196,
G,30.9,disturbance,60.96158707,54.57295404,67.3502201,
G,29.9,disturbance,61.10421581,54.75916671,67.44926491,
G,27.7,disturbance,61.41799903,55.15161137,67.68438669,
G,19.1,disturbance,62.64460617,56.44702675,68.8421856,
G,10,disturbance,63.94252768,57.40492305,70.48013232,
G,13.6,disturbance,63.42906423,57.0742765,69.78385196,
G,30.9,disturbance,60.96158707,54.57295404,67.3502201,
G,29.9,disturbance,61.10421581,54.75916671,67.44926491,
G,27.7,disturbance,61.41799903,55.15161137,67.68438669,
G,21.8,"disturbance, cover",62.7753703,56.47620238,69.07453821,
G,18.4,"disturbance, cover",63.260308,57.05189428,69.46872172,
G,16.3,"disturbance, cover",63.55982835,57.37768553,69.74197117,
G,8.5,"disturbance, cover",64.6723325,58.38576475,70.95890026,
