Treatment,Code,Moisture_VWC,Before/after,Date,Probe_type,Site
"Light water, no cover",L,3,After,27/07/16,Chinese,
"Light water, no cover",L,2,Before,30/07/16,Chinese,
"Light water, no cover",L,2.5,After,30/07/16,Chinese,
"Light water, no cover",L,2,Before,03/08/16,Chinese,
"Light water, no cover",L,2,After,03/08/16,Chinese,
"No water, cover",N/C,3,Before,23/06/16,Chinese,
"No water, cover",N/C,1.25,Before,02/07/16,Chinese,
"No water, cover",N/C,1.25,After,02/07/16,Chinese,
"No water, cover",N/C,1,Before,06/07/16,Chinese,
"No water, cover",N/C,1,After,06/07/16,Chinese,
"No water, cover",N/C,1,Before,09/07/16,Chinese,
"No water, cover",N/C,1,After,09/07/16,Chinese,
"No water, cover",N/C,,Before,13/07/16,Chinese,
"No water, cover",N/C,1,After,13/07/16,Chinese,
"No water, cover",N/C,1,Before,16/07/16,Chinese,
"No water, cover",N/C,1,After,16/07/16,Chinese,
"No water, cover",N/C,1,Before,20/07/16,Chinese,
"No water, cover",N/C,1,After,20/07/16,Chinese,
"No water, cover",N/C,1,Before,23/07/16,Chinese,
"No water, cover",N/C,1,After,23/07/16,Chinese,
"No water, cover",N/C,1.5,Before,27/07/16,Chinese,
"No water, cover",N/C,1.5,After,27/07/16,Chinese,
"No water, cover",N/C,1.5,Before,30/07/16,Chinese,
"No water, cover",N/C,1.5,After,30/07/16,Chinese,
"No water, cover",N/C,1.5,Before,03/08/16,Chinese,
"No water, cover",N/C,1.5,After,03/08/16,Chinese,
"No water, no cover",N,1.5,Before,23/06/16,Chinese,
"No water, no cover",N,1,Before,02/07/16,Chinese,
"No water, no cover",N,1,After,02/07/16,Chinese,
"No water, no cover",N,1,Before,06/07/16,Chinese,
"No water, no cover",N,1,After,06/07/16,Chinese,
"No water, no cover",N,1,Before,09/07/16,Chinese,
"No water, no cover",N,1,After,09/07/16,Chinese,
"No water, no cover",N,1,Before,13/07/16,Chinese,
"No water, no cover",N,1,After,13/07/16,Chinese,
"No water, no cover",N,1,Before,16/07/16,Chinese,
"No water, no cover",N,1,After,16/07/16,Chinese,
"No water, no cover",N,1,Before,20/07/16,Chinese,
"No water, no cover",N,1,After,20/07/16,Chinese,
"No water, no cover",N,1,Before,23/07/16,Chinese,
"No water, no cover",N,1,After,23/07/16,Chinese,
"No water, no cover",N,1,Before,27/07/16,Chinese,
"No water, no cover",N,1,After,27/07/16,Chinese,
"No water, no cover",N,1,Before,30/07/16,Chinese,
"No water, no cover",N,1,After,30/07/16,Chinese,
"No water, no cover",N,1,Before,03/08/16,Chinese,
"No water, no cover",N,1,After,03/08/16,Chinese,
"Nothing, disturbed, cover ",D/C,1.5,Before,23/06/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,02/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,02/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,06/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,06/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,09/07/16,Chinese,
